Coatue|Nina Gerson, Gordon Tsai, Elijah Sutano, Amrit Rau|AB, HD, IM|Venture / Growth|San Francisco, CA / New York, NY||3|2|
Companyon|Andrew Berg|MDE|Venture|New York, NY||2|2|
Cove Hill|Jake Wolf-Sorokin|AB, MDE|Growth / Buyout|Boston, MA||2|1|
Crane Ventures|Anna Cachadina-Abello|IM, MDE|Venture|London, UK||2|3|
Crosspoint|Greg Clark, Vivek Mani|AB|Growth / Buyout|San Francisco, CA||2|1|
CRV|James Green|AB|Venture|San Francisco, CA|Chromatic|3|2|
Dawn Capital|Zoe Qin|MDE|Venture / Growth|London, UK||3|3|
DCA Asset Management|Eli Golden|IM|Buyout|Scottsdale, AZ||||
Dell Technologies Capital|Jack Booley, Nina Lu|HD, MDE|Venture|San Francisco, CA|Skan.ai, Appdome, Akka|2|2|
Delta-v|Connor Heard|HD|Venture|Dallas, TX||1|1|
Dreamit|Drew Hunt|MDE, IM|Venture|Washington, DC|Lineaje|2|2|
DST Global|Anubhav Gupta|MDE|Venture|San Francisco, CA||2|2|
Edison Partners||||||2|3|
EIP|Shawn Cherian, Tansel Ismail|AB|Growth|New York, NY / Miami, FL||2|1|
Elephant|Jack Simmons, Chris DeSouza, Henry Stites|AB, HD, MDE|Venture|Boston, MA||1|1|Yes
Evolution Equity Partners|Giulio Caruso|IM|Venture / Growth|New York, NY||||Yes
Exceptional Capital|Graham Stoddard|MDE|Venture|Miami, FL||3|3|
Expedition Growth|Ollie Thomas, Tom Denford|TD, MDE, NB|Growth|London, UK||2|2|
Fintop|Cooper Winrich|NB|Venture / Growth|Miami, FL||2|1|
FirstMark|Ryan Sullivan|IM|Venture|New York, NY||||
Firstminute|Lorcan Delaney|MDE|Venture|London, UK||2|2|
Five Elms|Austin Gideon, Grace Trahan|TD, NB|Growth|Kansas City, MO|Prismatic|2|2|
Forgepoint|Ernie Bio, Jimmy Park, Rey Kitron|AB, IM, MDE|Venture / Growth|San Francisco, CA|Synadia, Rapidfort|1|2|Yes
Foundation Capital|Leo Lu, Grace Zaro|IM|Venture|San Francisco, CA / New York, NY||||
Fulcrum Equity|Patrick Rowland|MDE|Growth|Atlanta, GA||3|3|
Full In Partners|Justin Lobo|IM|Venture / Growth|New York, NY||||
General Atlantic|Asher Hecht, Vinay Trivedi, Steve Kletscher, Jack Dove, Royce Tiger, Gaby Hamburger, Dylan Milligan|AB, NB, IM, MDE|Growth / Buyout|San Francisco, CA / New York, NY||2|1|
General Catalyst|Ahmed Alveed|IM|Venture / Growth|San Francisco, CA|Buildkite|||
Geodesic|Will Horyn|AB, MDE|Venture|San Francisco, CA||3|1|
Georgian|Steve Leightell, Juri Zguri, Tyler McGrath, Charlie Hughes, Russ Moore, Aidan Potts|AB, NB, IM, MDE|Venture / Growth|Toronto, Canada||1|3|Yes
Glasswing Ventures|Zach Jaffe|MDE, IM|Venture|Boston, MA|Black Kite|2|1|
Golub Growth|Rob Maxfield|MDE|Growth|New York, NY||||
Google Ventures (GV)|||Venture||Wealth.com|||
Gradient Ventures|||Venture||Flutterflow|||
Graphite Ventures|Mackenzie Puklicz|IM|Venture|Toronto, Canada||||
Great Hill|Vinay Ramprasad|MDE|Growth / Buyout|Boston, MA||1|3|
GreatPoint Ventures|Krish Kohli|HD|Venture / Growth|San Francisco, CA||1|1|
Greenfield Ventures|Avery Schwartz, Raz Mangel|AB|Venture|Tel Aviv, Israel||2|2|
Greenoaks|Patrick Backhouse|AB|Growth|San Francisco, CA||3|1|
Greylock|||Venture||Orb|||
GS Growth|Irit Kahan, Wes Garrett, Ben Fife|AB|Growth|Tel Aviv, Israel / San Francisco, CA / New York, NY||1|1|Yes
Guidepost Growth|Travis McGee|MDE|Growth|Boston, MA||2|2|
Headline|||Venture||NetBox|||
HIG Growth|Henry Reynolds, Mac Carso|MDE, NB|Growth|Boston, MA / New York, NY||2|1|
Highland|Michael Lackey|MDE|Venture|Boston, MA||2|1|
Highland Europe|Efosa Ayanru, Sam Brooks, Harry Williams, Eoghan Dorman, David Blyghton|AB, HD|Growth|London, UK||1|1|Yes
Hitachi Ventures|Divya Raghavan|MDE|Venture|San Francisco, CA||2|2|
IBM Ventures|||Venture||NetBox|||
ICONIQ|Shikhar Maheshwari, Murali Joshi|AB, HD|Growth|New York, NY / San Francisco, CA||2|1|
InMotion|Sam Nasrolahi|MDE|Venture|London, UK||3|3|
Innovius Capital|Ethan Smith|NB|Growth|San Francisco, CA|SewerAI, ClearML|1|1|
Inovia Capital|Steven Chung, Taha Mubashir|HD, MDE|Venture / Growth|Toronto, Canada|Flare Systems|1|1|Yes
In-Q-Tel|Mark Strabo, Kyle McNulty|IM|Venture|Washington, DC / San Francisco, CA|Vulncheck|||
Insight|Ved Narayan, Eugenia Lustgarten, Miles Neumann, Connor McCarthy, Julian Marcu|AB, HD, IM, MDE|Venture|New York, NY||1|1|Yes
Integrity Growth|Kasey Grabe|MDE|Growth|Los Angeles, CA||2|2|
Intel Capital|Ally Farmer|MDE|Venture|Austin, TX / San Francisco, CA|Moderne, Runpod|2|2|
IVP|Sabina Von Koskull|IM|Venture|London, UK||||
Jibe Ventures|Dany Hadar|MDE|Venture|London, UK||3|3|
JMI|Preston Horner, Stephen Jones, Anastasiya P., Isaac Scoville|AB, NB|Growth|San Diego, CA / Washington, DC||1|1|Yes
Jump Capital|Miles Scheffler, Aqil Pasha|IM, MDE|Venture|New York, NY / Chicago, IL||2|2|
JVP|||Venture||Appdome|||
K1|Mike Velcich, Christian Grant, Roy Liao|AB|Growth / Buyout|Los Angeles, CA||2|1|
Kennet Partners|Alex Taylor-Harris|MDE|Growth|London, UK||2|3|
KKR Growth|Jessica Allen, Ralph Chrappa|AB, IM|Growth|New York, NY||2|1|
Lakestar|Sri Ayangar|MDE|Venture|London, UK||1|2|
Lead Edge|Harjap Singh, Michael Sutter|HD, MDE|Growth|New York, NY|Akuity|1|1|
Left Lane|Aparajita Chauhan|HD|Growth|New York, NY|Riot|||
Level Equity|James Fearis|AB|Growth|New York, NY||1|2|Yes
Lightspeed|Lina Zhuo, James Ephrati, Sebastian Duesterhoeft, Yoni Cheifetz, Mark Sui (buyouts)|AB, HD, MDE|Venture / Growth / Buyout|New York, NY / San Francisco, CA / Tel Aviv, Israel||3|1|
Long Ridge|Rachel Philbin|HD|Growth|New York, NY||2|2|
Lookout Ventures|Will Rayner|MDE|Venture|Washington, DC|Black Cloak (TDF Ventures)|1|3|
Marathon|Alex Gorgoni|AB|Growth|New York, NY||3|1|
March Capital|Maya Matthews|MDE|Venture|Los Angeles, CA||3|2|
Marlin Equity|Garrett Zogby|IM|Buyout|Los Angeles, CA||3|3|
Mayfield|||Venture|San Francisco, CA|Orb|||
Menlo Ventures|||Venture||Unstructured|||
Meritech|Anthony DeCamillo|AB|Growth|San Francisco, CA||3|2|
Molten Ventures|Nikhil Punwaney|MDE|Venture|London, UK|Binalyze|2|2|
Moment Ventures||||||||
Mozilla Ventures|||Venture||Credo.ai|||
Mucker Capital|Aahad Patel|IM|Venture|New York, NY||||
NEA|Alex Sharata|AB|Venture / Growth|Miami, FL||2|2|
NewSpring|Tarun Sangari|MDE|Growth / Buyout|New York, NY||3|3|
NewView|Cormac Dunn, Ankit Sud, David Divver, Nazanin Soltan|AB, HD, IM, MDE|Venture|San Francisco, CA||2|1|
NextEquity|Rachit Joshi|MDE|Growth|San Francisco, CA||3|3|
Nexus Venture Partners|Aniket Kamthe|IM|Venture / Growth|San Francisco, CA|Nx|||
Norwest|Michael D'Arrigo, Owen Chun|AB, HD, IM|Venture / Growth|San Francisco, CA||2|1|
Notable Ventures|||Venture||Arteria, NetBox|||
Noteus|Yoan Pashov|MDE|Growth|London, UK||2|3|
Octopus Ventures|Constanza Diaz|MDE|Venture|London, UK||3|3|
One Peak|Nick Hancock|MDE|Growth|London, UK||1|1|
Open Core Ventures|Alex Smith|NB|Venture|N/A||2|1|
OpenOcean|Tony Nysten|MDE|Venture|London, UK||2|2|
OpenView|Vinnie McSweeny, Tori Korine|MDE|Venture / Growth|Boston, MA|Buildkite|3|3|
Paladin Capital|Mitch Cooney, Alex Ledoux, Francois Reuther|IM, MDE|Venture / Growth|Washington, DC / London, UK|Greynoise|1|2|Yes
PeakSpan|Kyle Reitinger|AB|Growth|San Francisco, CA||2|1|
Pelion|Skyler Seymour|MDE|Venture|Salt Lake City, UT||3|3|
Permira Growth|Kyle Butler, Pierre Pozzo|AB|Growth|Menlo Park, CA / London, UK||2|1|
Picture Capital|Zach Wyman|AB|Growth|Cambridge, MA||3|2|
Point Nine Capital|||Venture||Soda.io|||
Premji Invest|Akshay Kini, Justin Yannix|AB, HD, IM|Growth|San Francisco, CA||||
Prosperity7|Matthew Shang|MDE|Venture|San Francisco, CA|Opsera, Lineaje|1|2|
PSG|Ajay Chinni, Rohan Chudasama, Tyler Hanson, Asaf Joffe, Jordan Loev, North Peters|AB, NB, IM|Growth / Buyout|Boston, MA / Tel Aviv, Israel / New York, NY||2|1|
Radian Capital|Sam Winchester|IM|Growth|New York, NY|Greynoise|1|3|
Red Dot|Atad Peled|AB|Venture|Tel Aviv, Israel||2|2|
Redpoint|Sai Senthilkumar|AB|Venture|San Francisco, CA|Mattermost|1|2|Yes
Redseed|||Venture|London, UK||2|2|
Resurgens|Seth Green|TD, MDE|Buyout|Atlanta, GA|GitKraken|2|2|
Revolution|Hark Ahluwalia|MDE|Venture|Washington, DC||||
Ridge Ventures|Eliyahou Amsellem|IM|Venture|San Francisco, CA||||
Ridgepeak Partners|Carson Bobo|IM|Venture|Austin, TX||||
Riverwood|Anant Goel|HD|Growth|Boston, MA||2|1|
RRE Ventures|Denis Cherian|MDE|Venture|New York, NY||3|3|
Runa Capital|Denny Gabriel|NB|Venture|San Francisco, CA||2|2|
Sageview Capital|Michael Marcus, Will Kunin, Dorothy Shapiro, Sasha Pasmanik|HD, NB, MDE, IM|Growth|New York, NY / San Francisco, CA||2|1|
Salesforce Ventures|Kartik Gupta, Zak Kokosa, Emily Zhao, Caroline Fiegel, Pascha Hao, Sam Ackaah-Yensu, Kevin Wu|AB, IM, MDE|Venture|London, UK / San Francisco, CA||1|2|
Sands Capital|Chris Eng, Amanda Golden|MDE, NB|Venture|Washington, DC|Credo.ai|1|1|
Sapphire|Justin Liu, Casber Wang, Adam Liu, Jasmine Yang, Adrian Kania|AB, HD, IM, MDE|Venture / Growth|San Francisco, CA / Menlo Park, CA||1|1|Yes
Scale Venture Partners|Sabina Smith|IM|Venture|San Francisco, CA||||
Scottish Equity Partners|Taylor Rampton|MDE|Growth|London, UK|Basis Technologies|||
Serent|Bobby Donze, Alexis Lynch, Song Yang|AB, HD|Growth|San Francisco, CA||1|1|Yes
ServiceNow Ventures|Seihun Kong|MDE|Venture|San Francisco, CA||2|2|
Silversmith|Jim Quagliaroli (Senior), Ned Kingsley, John O'Connor, Danielle Waldman|AB, MDE, NB|Growth|Boston, MA|Gearset|2|1|
Silverton Partners|Aneesh Desai|MDE|Venture|Austin, TX||3|3|
SineWave Ventures|Yanev Suissa, Charlie Kleinsmith|TD, MDE|Venture|New York, NY|Selector, RunSafe|||
Singular|||Venture||Soda.io|||
Sixth Street Growth|Bill Keenan, Nikhil Gavai, Eric Rosenfeld, Peter Pillari, David Elgalwy|AB, IM|Growth|Boston, MA / New York, NY||2|1|
Sixty Degree Capital|Brett Liu|IM|Growth|San Francisco, CA||||
Smith Point|Lorenzo Salazar|MDE|Growth|San Francisco, CA / Austin, TX||||
Sorenson Capital|PJ Marsh, Olive Xu, Jeff Todd, Josh Anagnostou|HD, IM, MDE|Venture / Growth|Salt Lake City / San Francisco||2|1|
Spectrum Equity|Peter Kenerson, Clay McCollum, Joey Haig|HD, NB, MDE|Growth|Boston, MA / San Francisco, CA / London, UK||1|1|Yes
Squadra Ventures|Nav Vishwanathan, Isaac Carp|MDE, IM|Venture|Washington, DC||2|2|
Squarepoint|Martyna Piotrowska|MDE|Venture|New York, NY||2|1|
Stepstone|||Venture / Growth||Silent Push|||
Stone Point Capital|AJ Delgado|IM|Growth|New York, NY||||
Stripes|John Diorio|MDE|Venture / Growth|New York, NY||2|2|
Sumeru|Sanjeet Mitra (Senior), Jack McCabe, Sofija Ostojic, Raymond Shen|AB, MDE|Buyout|San Francisco, CA / New York, NY||2|1|
Summit|Len Ferrington (Senior), Mike Chen, Dan Kim, Alex LaPolice, Nik Ohri, Hunt Hobbs, Roy Kamineni, Chandler Scott|AB, NB, MDE|Growth / Buyout|San Francisco, CA / London, UK / Boston, MA||2|1|
Susquehanna Growth Equity|Evan Campbell, Jackson McKiernan|HD, IM|Growth / Buyout|Philadelphia, PA||1|1|
TA|Chris Hong, Mahek Mehta, Jack Roberts|AB, HD, IM|Buyout|Boston, MA / San Francisco, CA||1|1|Yes
T-Capital|Onat Derebek|MDE|Growth|London, UK||3|3|
TCV|Zach Riedy, Serhat Kizilboga, Morgan Gerlak (Velocity), Matt Movva|AB, HD, MDE|Venture / Growth|New York, NY / San Francisco, CA||1|1|Yes
TenEleven|Ben Charlson, Sid Subramanian|AB, HD, IM, MDE|Venture / Growth|Chicago, IL / Boston, MA|Silent Push, Vulncheck|1|1|Yes
Theory Ventures|Spencer Farrar|IM|Venture|San Francisco, CA||||
Tidemark|Dave Yuan (Senior), Nathan Hwang|AB, HD|Venture|San Francisco, CA||2|1|
Tiger Global|Phoebe Lin|AB, MDE|Venture|New York, NY|Prefect, Circle|3|1|
TPG Growth|Braden Casady|MDE|Growth / Buyout||||
Turn/River|Jax Morgan|HD|Buyout|San Francisco, CA||||
Unusual Ventures|Tyler Crown|MDE|Venture|New York, NY||2|3|
Updata|Jack Larson, Neal Singal, Konstantinos Bailas, Mary Hampton McNeal|AB, HD, NB, MDE|Growth|Washington, DC||1|1|Yes
UVC|Andreas Unseld, Alexander Kiltz|MDE|Venture|Munich, Germany||3|3|
Valor Ventures|William Leonard|MDE|Venture|Atlanta, GA||3|3|
Venture Guides|Will Schnoor|MDE|Venture|Boston, MA||2|3|
Vertex Ventures|Simon Tiu|MDE|Venture|San Francisco, CA||2|2|
Viking|Emily Nolop, Mihir Jain|AB|Growth|New York, NY||2|1|
Vitruvian|Christine Kang, Etham Frenkel|AB|Growth / Buyout|Miami, FL||2|1|
Volition Capital|Michael Brannan, Sinjon Goldberg|NB, MDE|Growth|Boston, MA|Black Kite|2|2|
Warburg Pincus|Danielle Steinman|MDE|Buyout|New York, NY||3|3|
Washington Harbour|Patrick Foley|MDE|Growth / Buyout|Washington, DC||3|3|
WestBridge|Tushar Gupta|NB|Growth|San Francisco, CA||2|3|
White Star Capital|Ted Vinnitchouk|IM|Venture / Growth|New York, NY|Flare Systems|||
YL Ventures|Yoav Leitersdorf (Senior)|AB|Venture|San Francisco, CA||2|2|
